所有權人;管理者;行政區;段小段;地號;面積;分母;分子;持分面積;使用分區
中華民國;財政部國有財產署;中正區;永昌段一小段;07270002;2;1;1;2;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;07270003;3;1;1;3;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;07290002;1;1;1;1;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;07310002;4;1;1;4;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;07310003;10;1;1;10;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;07360002;82;1;1;82;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;07400000;142;1;1;142;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;07400002;2;1;1;2;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;07410000;2;1;1;2;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;07420000;13;1;1;13;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;07430000;7;1;1;7;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;07440000;27;1;1;27;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;07460000;62;1;1;62;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;07460001;4;1;1;4;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;07690000;42;1;1;42;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;07690001;8;1;1;8;第三之二種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;07850000;52;1;1;52;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;07870000;22;1;1;22;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;07900001;4;1;1;4;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;07910002;2;1;1;2;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段一小段;08200000;42;1;1;42;第三之二種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;00490001;7;1;1;7;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;00490002;16;1;1;16;第三種住宅區
中華民國;財政部國有財產署;中正區;永昌段二小段;00570000;95.35;1;1;95.35;第三種住宅區
